player_id,season,I_F_xGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_savedShotsOnGoal,I_F_faceOffsWon,I_F_hits,I_F_takeaways
8474013,2021,2.78,2.74,6,11,77,44,59,180,19,2,8,75,0,110,29
8474027,2021,2.43,2.33,5,7,73,32,55,160,18,6,4,67,0,87,16
8474031,2021,7.01,6.84,13,14,163,51,81,295,35,8,7,155,0,73,38
8474034,2021,12.86,12.49,7,9,102,35,19,156,27,11,9,91,15,160,16
8474037,2021,28,24.7,8,6,187,58,40,285,38,24,24,163,10,34,30
8474038,2021,3.55,3.4,1,2,33,4,6,43,7,4,5,29,33,66,9
8474040,2021,11.59,11.06,13,5,132,26,27,185,31,13,11,119,142,21,24
8474053,2021,23.25,22.09,21,12,199,61,54,314,56,23,16,176,621,92,62
8474056,2021,4.41,4.18,8,9,114,58,92,264,22,5,7,109,0,69,23
8474062,2021,4.48,4.34,3,1,36,20,8,64,4,0,3,36,207,46,18
8474066,2021,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1
8474068,2021,1.55,1.57,0,3,21,8,14,43,4,1,0,20,28,13,9
8474089,2021,0.68,0.69,1,0,7,2,2,11,2,1,1,6,13,22,0
8474090,2021,2.86,2.82,2,2,63,23,42,128,8,4,5,59,0,73,12
8474098,2021,3.07,3.07,2,1,38,15,7,60,5,2,2,36,29,41,9
8474102,2021,18.36,17.99,10,20,177,54,88,319,57,27,17,150,1,80,37
8474141,2021,21.26,20.92,46,20,287,84,143,514,92,26,6,261,4,11,42
8474145,2021,2.59,2.52,2,3,47,21,19,87,6,1,3,46,0,135,8
8474149,2021,18.6,17.85,17,6,177,55,68,300,43,20,16,157,1,65,17
8474150,2021,18.8,18.54,18,9,214,74,67,355,39,12,19,202,621,62,55
8474151,2021,5.51,5.44,9,13,85,46,49,180,26,4,5,81,0,96,26
8474157,2021,15.06,14.58,9,9,148,56,58,262,37,19,9,129,2,30,15
8474161,2021,11.89,11.38,40,16,147,43,63,253,62,6,9,141,5,27,44
8474162,2021,2.54,2.48,5,6,75,29,62,166,14,3,3,72,0,105,12
8474166,2021,1.13,1.11,1,4,32,13,24,69,8,3,1,29,0,26,8
8474176,2021,7.39,7.14,5,6,71,25,21,117,14,3,4,68,4,32,14
8474189,2021,10.79,10.77,15,3,116,54,43,213,31,13,9,103,510,95,37
8474190,2021,10.32,10.04,5,6,79,25,29,133,16,5,2,74,3,148,15
8474207,2021,3.5,3.29,9,5,75,43,51,169,19,5,7,70,0,115,16
8474291,2021,2.38,2.26,1,0,24,5,11,40,2,1,2,23,265,50,9
8474563,2021,5.94,5.62,10,14,99,28,56,183,31,7,9,92,0,60,9
8474564,2021,26.74,25.92,43,21,241,82,78,401,106,42,12,199,545,93,30
8474565,2021,12.68,12.39,17,14,227,84,145,456,44,13,16,214,0,66,93
8474567,2021,2.26,2.23,2,3,60,16,32,108,8,3,3,57,0,114,7
8474568,2021,3.47,2.95,7,5,78,23,62,163,17,5,3,73,0,273,7
8474573,2021,10.39,9.6,18,12,87,28,41,156,44,14,8,73,43,19,31
8474574,2021,5.84,5.65,8,9,128,45,84,257,18,1,5,127,0,145,32
8474578,2021,5.58,5.48,13,12,117,53,78,248,35,10,4,107,0,18,52
8474584,2021,0.98,0.95,4,6,35,16,30,81,13,3,2,32,0,42,5
8474586,2021,20.41,19.81,13,10,164,75,71,310,44,21,6,143,6,48,50
8474589,2021,7.86,7.69,11,5,89,35,33,157,24,8,5,81,20,70,19
8474590,2021,11.71,11.15,25,29,195,83,110,388,71,17,14,178,0,73,42
8474600,2021,18.23,17.22,36,37,281,104,178,563,96,23,22,258,0,66,48
8474602,2021,5.11,4.96,12,7,92,45,68,205,23,4,10,88,0,40,13
8474610,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
8474612,2021,3.08,2.94,2,4,82,27,62,171,10,4,2,78,0,73,6
8474613,2021,10.65,10.5,6,4,96,28,21,145,19,9,10,87,248,29,22
8474618,2021,3.61,3.58,5,6,76,29,37,142,14,3,5,73,0,106,18
8474628,2021,1.09,1.08,1,3,24,10,25,59,6,2,0,22,0,26,1
8474641,2021,19.56,18.75,15,8,141,53,39,233,42,19,16,122,276,22,18
